X;Y;GeografischerName_GEN;Bezeichnung;Land;ARS
1243658;7160597;Klützer Winkel;Amt;"13";"130745454000"
1276013;7150949;Wismar;Amtsfreie Gemeinde;"13";"130740087000"
1066989;7088466;Lühe;Samtgemeinde;"03";"033595406000"
1073494;7103652;Geest und Marsch Südholstein;Amt;"01";"010565690000"
1072022;7120668;Elmshorn-Land;Amt;"01";"010565616000"
1043875;7116138;Drochtersen;Einheitsgemeinde;"03";"033590013000"
1048174;7128999;Glückstadt;Amtsfreie Gemeinde;"01";"010610029000"
1128125;7232240;Kiel;Amtsfreie Gemeinde;"01";"010020000000"
1108822;7296838;Kappeln;Amtsfreie Gemeinde;"01";"010590045000"
1095958;7310778;Geltinger Bucht;Amt;"01";"010595990000"
1072172;7323827;Langballig;Amt;"01";"010595937000"
1050904;7321159;Flensburg;Amtsfreie Gemeinde;"01";"010010000000"
1064083;7269230;Schleswig;Amtsfreie Gemeinde;"01";"010590075000"
1065302;7260679;Haddeby;Amt;"01";"010595915000"
1068690;7282268;Südangeln;Amt;"01";"010595987000"
990718;7207903;Büsum-Wesselburen;Amt;"01";"010515178000"
1007308;7263190;Husum;Amtsfreie Gemeinde;"01";"010540056000"
1038242;7151721;Wilstermarsch;Amt;"01";"010615179000"
977419;7005226;Bremen;Gemeinschaftsfreie Gemeinde;"04";"040110000000"
954718;7084083;Bremerhaven;Gemeinschaftsfreie Gemeinde;"04";"040120000000"
827861;7042804;Moormerland;Einheitsgemeinde;"03";"034570014000"
806437;7022082;Bunde;Einheitsgemeinde;"03";"034570024000"
815583;7034296;Jemgum;Einheitsgemeinde;"03";"034570012000"
789573;7066159;Krummhörn;Einheitsgemeinde;"03";"034520014000"
838459;7122229;Langeoog;Einheitsgemeinde;"03";"034620007000"
823663;7118699;Baltrum;Einheitsgemeinde;"03";"034520002000"
805877;7116131;Norderney;Einheitsgemeinde;"03";"034520020000"
798797;7090633;Norden;Einheitsgemeinde;"03";"034520019000"
863686;7091988;Wittmund;Einheitsgemeinde;"03";"034620019000"
883019;7105074;Wangerland;Einheitsgemeinde;"03";"034550020000"
747946;7093433;Borkum;Einheitsgemeinde;"03";"034570002000"
1015209;6059552;Konstanz;Verwaltungsgemeinschaft;"08";"083355004000"
1483614;6172873;Pocking;Einheitsgemeinde;"09";"092750141000"
