X;Y;Name;ARS
711040.838963769;5403544.09902695;Siegenburg;"092735218000"
639289.016078282;6037317.96501702;Fehmarn;"010550046000"
688220.407695197;5507847.48538759;Auerbach i.d.OPf.;"093710113000"
730341.745091793;5639168.93084978;Oberes Sprottental;"160775009000"
643672.645232828;5473723.53671522;Stein;"095730127000"
599883.076101974;5322406.82951673;Erkheim;"097785762000"
513546.599787878;5478678.4183417;Limbach;"082255004000"
780418.369995805;5771775.64436727;Jüterbog;"120720169000"
683998.126319591;5380668.95696525;Pfaffenhofen a.d.Ilm (Einheitsgemeinde);"091860143000"
673544.906890068;5409441.33155416;Gaimersheim;"091760126000"
506339.628722929;5537752.50768238;Mainaschaff;"096710140000"
514835.155071823;5795215.5718602;Stadthagen;"032570035000"
705121.066308151;5278316.5703404;Kreuth;"091820124000"
461012.713589274;5868599.97715349;Dötlingen;"034580003000"
790726.732452177;5406156.15359429;Moos;"092715205000"
547766.324195776;5677397.82013484;Helsa;"066330012000"
807191.125933715;5660694.81151302;Reinsberg;"145220480000"
761498.763067749;5322471.39355801;Altenmarkt a.d.Alz;"091890111000"
818014.078040662;5428711.12005241;Spiegelau;"092720149000"
625756.760378945;5781811.6690919;Barnstorf-Warle;"031589502000"
730999.171305344;5544282.91795335;Konnersreuth;"093770131000"
707227.401094263;5425514.76761795;Ihrlerstein;"092735215000"
473845.832268227;5567961.15401608;Friedrichsdorf;"064340002000"
854115.579642597;5712271.07115627;Lauta;"146250310000"
625261.532239158;5464530.11779966;Petersaurach;"095710190000"
497205.180302994;5774577.84572932;Kalletal;"057660036000"
789991.885442163;5431860.9027525;Ruhmannsfelden;"092765238000"
322485.606536798;5611905.44130772;Heimbach;"053580012000"
713744.246004987;5320789.55427621;Glonn;"091755114000"
404946.505950664;5674365.15393751;Lüdenscheid;"059620032000"
790972.19334301;5456606.00475957;Arrach;"093720113000"
341251.976866613;5460708.76807921;Bous;"100440122000"
537275.445195551;5871627.70212574;Visselhövede;"033570051000"
659053.882523072;5616740.61664482;Bad Blankenburg;"160730005000"
670089.016680427;5436701.95210498;Greding;"095760122000"
433612.688679686;5462208.05579476;Maikammer;"073375006000"
671931.72477506;5585874.05607973;Teuschnitz;"094765433000"
443649.154542931;5714781.59558865;Bad Sassendorf;"059740008000"
797390.442901809;5306756.07780132;Freilassing;"091720118000"
605899.891537565;5572587.44282031;Bad Königshofen i.Grabfeld (Verwaltungsgemeinschaft);"096735634000"
375238.045248122;5663780.15986893;Wermelskirchen;"053780032000"
627117.004761142;5364963.49350634;Adelsried;"097720111000"
402238.264816061;5636043.33670113;Waldbröl;"053740044000"
805363.323720134;5447595.45946008;Bayerisch Eisenstein;"092760115000"
